Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host_Countries,Count,Broadcast_Revenue,Sum_Revenue
Lydia Ierodiaconou-Lassila,F,32,Australia,AUS,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Aerials,Bronze,Russia,2,1289,1377
Rachel Anne Imison,F,21,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,Australia,1,1332,1332
"James George ""Jim"" Irvine",M,27,Australia,AUS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Silver,Canada,3,35,1640
Lauren Elizabeth Jackson,F,19,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,Australia,1,1332,1332
Lauren Elizabeth Jackson,F,23,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver,Greece,1,1494,1494
Lauren Elizabeth Jackson,F,27,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Silver,China,1,1739,1739
Lauren Elizabeth Jackson,F,31,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze,United Kingdom,1,2569,2569
"Robert ""Rob"" Jahrling",M,26,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver,Australia,1,1332,1332
Rachel Jarry,F,20,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze,United Kingdom,1,2569,2569
Iain Jensen,M,24,Australia,AUS,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Skiff,Gold,United Kingdom,1,2569,2569
Iain Jensen,M,28,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff,Silver,Brazil,1,2868,2868
Emma Clare Johnson,F,16,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,United States of America,5,898,1944.05
Sonja Johnson,F,40,Australia,AUS,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,China,1,1739,1739
Brenda Jones (-Carr),F,23,Australia,AUS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 800 metres,Silver,Italy,2,1.2,832.2
Leisel Marie Jones,F,15,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Breaststroke,Silver,Australia,1,1332,1332
Leisel Marie Jones,F,15,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Australia,1,1332,1332
Leisel Marie Jones,F,18,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Breaststroke,Bronze,Greece,1,1494,1494
Leisel Marie Jones,F,18,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Breaststroke,Silver,Greece,1,1494,1494
Leisel Marie Jones,F,18,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,Greece,1,1494,1494
Leisel Marie Jones,F,22,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Breaststroke,Gold,China,1,1739,1739
Leisel Marie Jones,F,22,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Breaststroke,Silver,China,1,1739,1739
Leisel Marie Jones,F,22,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,China,1,1739,1739
Leisel Marie Jones,F,26,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,United Kingdom,1,2569,2569
Megan Victoria Jones,F,31,Australia,AUS,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,China,1,1739,1739
Michellie Yvonne Jones,F,31,Australia,AUS,2000 Summer,2000,Summer,Sydney,Triathlon,Triathlon Women's Olympic Distance,Silver,Australia,1,1332,1332
"Rebecca Susan ""Bec"" Joyce",F,25,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Lightweight Double Sculls,Bronze,United States of America,5,898,1944.05
Robert Kabbas,M,29,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver,United States of America,5,287,1944.05
Fergus Kavanagh,M,23,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
Fergus Kavanagh,M,27,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,United Kingdom,1,2569,2569
Maddison Keeney,F,20,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,Bronze,Brazil,1,2868,2868
Barry Kelly,M,29,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,United States of America,5,287,1944.05
Shane John Kelly,M,20,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver,Spain,1,636,636
Shane John Kelly,M,28,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze,Australia,1,1332,1332
Shane John Kelly,M,32,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Keirin,Bronze,Greece,1,1494,1494
Angela Kennedy,F,20,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,United States of America,5,898,1944.05
Grant Hayden Kenny,M,21,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze,United States of America,5,287,1944.05
"Marcus Anthony ""Mark"" Kerry",M,20,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Backstroke,Bronze,Russia,2,88,1377
"Marcus Anthony ""Mark"" Kerry",M,20,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,Russia,2,88,1377
"Marcus Anthony ""Mark"" Kerry",M,24,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,United States of America,5,287,1944.05
Stefan Botev Khristov,M,28,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze,United States of America,5,898,1944.05
"Pamela ""Pam"" Kilborn-Ryan (-Nelson)",F,25,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 80 metres Hurdles,Bronze,Japan,4,1.6,3694.1
"Pamela ""Pam"" Kilborn-Ryan (-Nelson)",F,29,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,Silver,Mexico,1,9.8,9.8
"Nicholas Andrew ""Nick"" Kimpton",M,20,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver,Greece,1,1494,1494
"Thomas Jack ""Tom"" King",M,27,Australia,AUS,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Men's Two Person Dinghy,Gold,Australia,1,1332,1332
Brendan Robert Kingman,M,31,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver,Greece,1,1494,1494
"William Ashley ""Bill"" Kirby",M,25,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Australia,1,1332,1332
Lars Detlef Kleppich,M,24,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Men's Windsurfer,Bronze,Spain,1,636,636
Michael George Klim,M,18,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,United States of America,5,898,1944.05
Michael George Klim,M,23,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,Australia,1,1332,1332
Michael George Klim,M,23,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Australia,1,1332,1332
Michael George Klim,M,23,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,Silver,Australia,1,1332,1332
Michael George Klim,M,23,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Australia,1,1332,1332
Michael George Klim,M,26,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Greece,1,1494,1494
Mark William Knowles,M,19,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
Mark William Knowles,M,23,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
Mark William Knowles,M,27,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,United Kingdom,1,2569,2569
Bronwen Knox,F,22,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze,China,1,1739,1739
Bronwen Knox,F,26,Australia,AUS,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Bronze,United Kingdom,1,2569,2569
Emma Knox,F,30,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze,China,1,1739,1739
"Ilze ""Ilsa"" Konrads",F,16,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Italy,2,1.2,832.2
"Ilze ""Ilsa"" Konrads",F,16,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Italy,2,1.2,832.2
"Jnis ""John"" Konrads",M,18,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 400 metres Freestyle,Bronze,Italy,2,1.2,832.2
"Jnis ""John"" Konrads",M,18,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Italy,2,1.2,832.2
"Jnis ""John"" Konrads",M,18,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Italy,2,1.2,832.2
Daniel Steven Kowalski,M,21,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Freestyle,Bronze,United States of America,5,898,1944.05
Daniel Steven Kowalski,M,21,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 400 metres Freestyle,Bronze,United States of America,5,898,1944.05
Daniel Steven Kowalski,M,21,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,United States of America,5,898,1944.05
Daniel Steven Kowalski,M,25,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Australia,1,1332,1332
Yolane Nicole Kukla,F,16,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,United Kingdom,1,2569,2569
Annie Lilian La Fleur (Burgess-),F,30,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,Australia,1,1332,1332
Stephen Lambert,M,28,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
Jennifer Frances Lamy (-Frank),F,19,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 200 metres,Bronze,Mexico,1,9.8,9.8
Brett Daniel Lancaster,M,24,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,Greece,1,1494,1494
"Suzanne Ciscele ""Suzie"" Landells (-Dill-Macky)",F,19,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Individual Medley,Silver,United States of America,5,287,1944.05
Andrew Landenberger,M,29,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Multihull,Silver,United States of America,5,898,1944.05
"Mitchell James ""Mitch"" Larkin",M,23,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Backstroke,Silver,Brazil,1,2868,2868
"Mitchell James ""Mitch"" Larkin",M,23,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Brazil,1,2868,2868
Irina Lashko (-Furler-),F,31,Australia,AUS,2004 Summer,2004,Summer,Athina,Diving,Diving Women's Synchronized Springboard,Bronze,Greece,1,1494,1494
Rosemary Lassig (-Lluka),F,19,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Italy,2,1.2,832.2
Andrew George Lauterstein,M,21,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,China,1,1739,1739
Andrew George Lauterstein,M,21,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Butterfly,Bronze,China,1,1739,1739
Andrew George Lauterstein,M,21,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,China,1,1739,1739
Neale John Lavis,M,30,Australia,AUS,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver,Italy,2,1.2,832.2
Neale John Lavis,M,30,Australia,AUS,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold,Italy,2,1.2,832.2
"Jacqueline ""Jacqui"" Lawrence",F,26,Australia,AUS,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver,China,1,1739,1739
Susan Lee (-Brosnan),F,18,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Fours,Bronze,United States of America,5,287,1944.05
Virginia Lee,F,31,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Lightweight Double Sculls,Bronze,United States of America,5,898,1944.05
Justin William Lemberg,M,17,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 400 metres Freestyle,Bronze,United States of America,5,287,1944.05
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,19,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,Bronze,Greece,1,1494,1494
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,19,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Greece,1,1494,1494
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Freestyle,Silver,China,1,1739,1739
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,China,1,1739,1739
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Butterfly,Gold,China,1,1739,1739
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,China,1,1739,1739
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,27,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,United Kingdom,1,2569,2569
"Jocelyn Mavis ""Joyce"" Lester",F,38,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze,United States of America,5,898,1944.05
Craig Edward Lewis,M,27,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver,Greece,1,1494,1494
Hayley Jane Lewis (-Taylor),F,18,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 400 metres Freestyle,Bronze,Spain,1,636,636
Hayley Jane Lewis (-Taylor),F,18,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 800 metres Freestyle,Silver,Spain,1,636,636
Paul Snowden Lewis,M,25,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver,Spain,1,636,636
Paul Snowden Lewis,M,29,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze,United States of America,5,898,1944.05
Holly Lincoln-Smith,F,24,Australia,AUS,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Bronze,United Kingdom,1,2569,2569
Brent James Livermore,M,24,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,Australia,1,1332,1332
Brent James Livermore,M,28,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
Nicole Dawn Livingstone-Stevenson (-Clayton),F,21,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Backstroke,Bronze,Spain,1,636,636
Nicole Dawn Livingstone-Stevenson (-Clayton),F,25,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,United States of America,5,898,1944.05
Nicole Dawn Livingstone-Stevenson (-Clayton),F,25,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,United States of America,5,898,1944.05
Graeme John Lloyd,M,37,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver,Greece,1,1494,1494
William Lockwood,M,24,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Silver,United Kingdom,1,2569,2569
William Lockwood,M,28,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver,Brazil,1,2868,2868
Glen Loftus,M,28,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver,Greece,1,1494,1494
Matthew Long,M,25,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Pairs,Bronze,Australia,1,1332,1332
"Anthony ""Tony"" Lovrich",M,22,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Quadruple Sculls,Silver,United States of America,5,287,1944.05
"Dinko ""Dean"" Lukin",M,24,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold,United States of America,5,287,1944.05
Linda June MacKenzie (-Single),F,24,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,China,1,1739,1739
Lisa Maree Mackie,F,20,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze,United States of America,5,898,1944.05
Kathleen MacLeod,F,25,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze,United Kingdom,1,2569,2569
"Kate ""Katie"" Mactier",F,29,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver,Greece,1,1494,1494
"Antony Morgan ""Tony"" Madigan",M,30,Australia,AUS,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Heavyweight,Bronze,Italy,2,1.2,832.2
James Magnussen,M,21,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Silver,United Kingdom,1,2569,2569
James Magnussen,M,21,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,United Kingdom,1,2569,2569
James Magnussen,M,25,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Brazil,1,2868,2868
Robyn Leigh Maher (Gull-),F,36,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze,United States of America,5,898,1944.05
Clover Margaret Maitland,F,24,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,United States of America,5,898,1944.05
Clover Margaret Maitland,F,28,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,Australia,1,1332,1332
James Marburg,M,25,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,Silver,China,1,1739,1739
Russell Andrew Mark,M,32,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Double Trap,Gold,United States of America,5,898,1944.05
Russell Andrew Mark,M,36,Australia,AUS,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Double Trap,Silver,Australia,1,1332,1332
Karen Elizabeth Marsden,F,33,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,United States of America,5,898,1944.05
"Donald ""Don"" Martin",M,28,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Silver,Mexico,1,9.8,9.8
Lisa Frances Martin-Ondieki (-O'Dea),F,28,Australia,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Marathon,Silver,South Korea,2,403,1839
James Robert Mason,M,21,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Silver,Mexico,1,9.8,9.8
Michele Mary Mason-Brown,F,25,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's High Jump,Silver,Japan,4,1.6,3694.1
Eli Matheson,M,25,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
Antony Matkovich,M,27,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Greece,1,1494,1494
Bronwyn Mayer-Smith,F,26,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold,Australia,1,1332,1332
John Peter Robert McBryde,M,25,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Bronze,Japan,4,1.6,3694.1
Michael Anthony McCann,M,26,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
Wayne McCarney,M,22,Australia,AUS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,South Korea,2,403,1839
"Lynette Velma ""Lyn"" McClements (-McKenzie)",F,17,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Butterfly,Gold,Mexico,1,9.8,9.8
"Lynette Velma ""Lyn"" McClements (-McKenzie)",F,17,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Mexico,1,9.8,9.8
Alicia McCormack,F,25,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze,China,1,1739,1739
Alicia McCormack,F,29,Australia,AUS,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Bronze,United Kingdom,1,2569,2569
Kaarle McCulloch,F,24,Australia,AUS,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Team Sprint,Bronze,United Kingdom,1,2569,2569
Sally Jane McDermid-McCreedy,F,31,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze,United States of America,5,898,1944.05
Sally Jane McDermid-McCreedy,F,35,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze,Australia,1,1332,1332
Julie Maree McDonald,F,18,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 800 metres Freestyle,Bronze,South Korea,2,403,1839
Cameron McEvoy,M,22,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Brazil,1,2868,2868
Cameron McEvoy,M,22,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Brazil,1,2868,2868
"Bradley John ""Brad"" McGee",M,20,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze,United States of America,5,898,1944.05
"Bradley John ""Brad"" McGee",M,20,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,United States of America,5,898,1944.05
"Bradley John ""Brad"" McGee",M,24,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze,Australia,1,1332,1332
"Bradley John ""Brad"" McGee",M,28,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver,Greece,1,1494,1494
"Bradley John ""Brad"" McGee",M,28,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,Greece,1,1494,1494
Stephen John McGlede,M,19,Australia,AUS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,South Korea,2,403,1839
Stephen John McGlede,M,23,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Spain,1,636,636
Scott Anthony McGrory,M,18,Australia,AUS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,South Korea,2,403,1839
Scott Anthony McGrory,M,30,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Madison,Gold,Australia,1,1332,1332
"Michael Scott ""Mike"" McKay",M,27,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,Gold,Spain,1,636,636
"Michael Scott ""Mike"" McKay",M,31,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,Gold,United States of America,5,898,1944.05
"Michael Scott ""Mike"" McKay",M,35,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver,Australia,1,1332,1332
"Michael Scott ""Mike"" McKay",M,39,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Bronze,Greece,1,1494,1494
"Cameron ""Maxi"" McKenzie-McHarg",M,28,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,Silver,China,1,1739,1739
