Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host_Countries,Count,Broadcast_Revenue,Sum_Revenue
Carla Maree Boyd (Porter-),F,20,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze,United States of America,5,898,1944.05
Carla Maree Boyd (Porter-),F,24,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,Australia,1,1332,1332
Raelene Ann Boyle,F,17,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 200 metres,Silver,Mexico,1,9.8,9.8
Raelene Ann Boyle,F,21,Australia,AUS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 100 metres,Silver,Germany,1,18,18
Raelene Ann Boyle,F,21,Australia,AUS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 200 metres,Silver,Germany,1,18,18
Steven John Bradbury,M,20,Australia,AUS,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze,Norway,1,353,353
Steven John Bradbury,M,28,Australia,AUS,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold,United States of America,5,738,1944.05
Amber Bradley,F,24,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze,Greece,1,1494,1494
Karen Patricia  Brancourt (-Pollock),F,22,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Fours,Bronze,United States of America,5,287,1944.05
Michael Gene Brennan,M,24,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,Australia,1,1332,1332
Michael Gene Brennan,M,28,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
Scott Michael Brennan,M,25,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,Gold,China,1,1739,1739
Graeme Thomas Brewer,M,21,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Freestyle,Bronze,Russia,2,88,1377
"Thomas Robert ""Tom"" Brice",M,22,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver,Greece,1,1494,1494
Torah Jane Bright (-Thomson),F,23,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,Gold,Canada,3,1280,1640
Torah Jane Bright (-Thomson),F,27,Australia,AUS,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Halfpipe,Silver,Russia,2,1289,1377
Grant Tyson Brits,M,20,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,China,1,1739,1739
Brittany Broben,F,16,Australia,AUS,2012 Summer,2012,Summer,London,Diving,Diving Women's Platform,Silver,United Kingdom,1,2569,2569
Leith Brodie,M,22,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,China,1,1739,1739
Leith Brodie,M,22,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,China,1,1739,1739
Michelle Kathleen Brogan-Griffiths,F,23,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze,United States of America,5,898,1944.05
Michelle Kathleen Brogan-Griffiths,F,27,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,Australia,1,1332,1332
"Sandra Anne ""Sandy"" Brondello",F,27,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze,United States of America,5,898,1944.05
"Sandra Anne ""Sandy"" Brondello",F,32,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,Australia,1,1332,1332
"Sandra Anne ""Sandy"" Brondello",F,35,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver,Greece,1,1494,1494
Neil Brooks,M,17,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,Russia,2,88,1377
Neil Brooks,M,22,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,United States of America,5,287,1944.05
